type,text,text_after,images,answers,answers_draggable
ONE_FROM_MANY,Какой тип симметрии вирусного капсида представлен на данной трехмерной реконструкции?,,['6659a7e0d6efb4.68527591.png'],"[{'uid': 27234, 'answer': 'Кольцевой', 'images': []}, {'uid': 4861, 'answer': 'Спиральный', 'images': []}, {'uid': 18480, 'answer': 'Икосаэдрический', 'images': []}, {'uid': 7499, 'answer': 'Двухцепочечный', 'images': []}]",[]
ONE_FROM_MANY,Терапия ВИЧ-инфекции:,,[],"[{'uid': 13165, 'answer': 'проводится комбинациями антиретровирусных препаратов', 'images': []}, {'uid': 27019, 'answer': 'не разработана', 'images': []}, {'uid': 30765, 'answer': 'проводится ингибиторами нейраминидазы', 'images': []}, {'uid': 2744, 'answer': 'проводится ингибиторами РНК-зависимой-РНК-полимеразы', 'images': []}]",[]
ONE_FROM_MANY,Для какого из перечисленных вирусов характерна способность встраиваться в хромосомы человека?,,[],"[{'uid': 24144, 'answer': 'вирус иммунодефицита человека', 'images': []}, {'uid': 2762, 'answer': 'вирус полиомиелита', 'images': []}, {'uid': 17797, 'answer': 'вирус гриппа', 'images': []}, {'uid': 29469, 'answer': 'вирус гепатита A', 'images': []}, {'uid': 27669, 'answer': 'вирус бешенства', 'images': []}]",[]
ONE_FROM_MANY,"К какому классу препаратов, применяемых для терапии вирусных инфекций, относится вещество, представленное на схеме?",,['6659a7e0d3f031.33226604.png'],"[{'uid': 18635, 'answer': 'аномальный нуклеозид', 'images': []}, {'uid': 2954, 'answer': 'пептидный ингибитор слияния', 'images': []}, {'uid': 15435, 'answer': 'интерферон', 'images': []}, {'uid': 25620, 'answer': 'моноклональное антитело', 'images': []}]",[]
ONE_FROM_MANY,Какому из перечисленных вирусов соответствует данная схема строения вириона?,,['6659a7e13af534.23892804.png'],"[{'uid': 2059, 'answer': 'Вирус кори', 'images': []}, {'uid': 16993, 'answer': 'Вирус простого герпеса', 'images': []}, {'uid': 5528, 'answer': 'Вирус гепатита А', 'images': []}, {'uid': 30406, 'answer': 'Вирус иммунодефицита человека (ВИЧ-1)', 'images': []}, {'uid': 3788, 'answer': 'Вирус бешенства', 'images': []}]",[]
ONE_FROM_MANY,Какая из перечисленных ферментативных активностей обозначена знаком вопроса (?) в данной схеме стратегии репликации генома?,,['6659a7e0edc538.24331749.png'],"[{'uid': 26744, 'answer': 'ДНК-зависимая ДНК-полимераза', 'images': []}, {'uid': 17118, 'answer': 'РНК-зависимая РНК-полимераза', 'images': []}, {'uid': 30565, 'answer': 'ДНК-тополизомераза', 'images': []}, {'uid': 22764, 'answer': 'ДНК-лигаза', 'images': []}, {'uid': 20573, 'answer': 'Обратная транскриптаза', 'images': []}]",[]
ONE_FROM_MANY,Интерфероны являются:,,[],"[{'uid': 25629, 'answer': 'аномальными нуклеозидами', 'images': []}, {'uid': 28831, 'answer': 'производными салициловой кислоты', 'images': []}, {'uid': 25118, 'answer': 'кольцевыми молекулами ДНК', 'images': []}, {'uid': 15242, 'answer': 'малыми белками', 'images': []}, {'uid': 14653, 'answer': 'участками ДНК вируса', 'images': []}]",[]
TEXT,"﻿Напишите латинское название семейства, к которому относится вирус гепатита А:",,[],[],[]
TEXT,"Напишите латинское название семейства, к которому относятся аденовирусы:",,[],[],[]
TEXT,"Напишите латинское название семейства, к которому относится цитомегаловирус:",,[],[],[]
TEXT,"Напишите латинское название семейства, к которому относятся вирусы гриппа:",,[],[],[]
TEXT,"Напишите латинское название любого из семейств вирусов, поражающих человека и содержащих одноцепочечную РНК:",,[],[],[]
